,,,upshift,upshift,upshift,upshift,upshift,upshift,upshift,upshift
thyA,nucleotide synthesis,C up,0,0,0,0,0.01018044,0,0,0
ucpA,,C up,0.0106929,0.009623713,0,0,0,0,0,0
udp,,C up,0.04237418,0.046439656,0.023310659,0.023449984,0.035471315,0.016325825,0.022177332,0.027100865
ushA,,C up,0.01584064,0.015479885,0.023635681,0.011724992,0.015430887,0.017091484,0.016055882,0.02136692
uspA,,C up,0.110089641,0.077399426,0.06414494,0.057165425,0.091303511,0.054929856,0.028298781,0.03283481
uspE,,C up,0.02078967,0.03095977,0.011736585,0.017830744,0.015110434,0.020746888,0.011088666,0.01068346
uspF,,C up,0.01584064,0.010668029,0.017686133,0.011724992,0.01018044,0.011904762,0.012242899,0.01068346
uspG,,C up,0,0,0,0.011238481,0,0,0,0
yaeH,,C up,0.03148257,0.02719223,0.023310659,0.040794216,0.035471315,0.022278206,0.027144548,0.026316435
yahK,,C up,0.0106929,0,0,0.012211503,0,0,0,0
yahO,,C up,0,0,0,0,0,0,0,0
yaiE,,C up,0.02098838,0.015479885,0.017523622,0.011724992,0.020040429,0.016325825,0.011088666,0.015632975
yajC,,C up,0.020590961,0.026147914,0.011736585,0.022963472,0.029579965,0.021512547,0.016055882,0.026316435
ybeD,,C up,0.08435094,0.069864345,0.082481116,0.065217222,0.061082642,0.07873938,0.087555094,0.069050274
ybiB,,C up,0.01049419,0.011712345,0.011899096,0,0,0,0,0
ybjP,,C up,0,0,0,0,0.009859988,0,0,0
ybjQ,,C up,0,0,0,0,0,0,0,0
ycgR,,C up,0.062766431,0.073631886,0.052733377,0.082561455,0.056152648,0.037838372,0.050476113,0.02058249
ychN,,C up,0.02098838,0.016524201,0.017686133,0.024423006,0.020360881,0.011904762,0.016055882,0.02293578
ydcL,,C up,0.0213858,0.011712345,0.011736585,0.017830744,0.020681333,0.010373444,0.022177332,0.01979806
ydeN,,C up,0.03148257,0.016524201,0.023635681,0.023936495,0.015430887,0,0.011088666,0.01146789
ydfG,,C up,0.05266966,0.032004086,0.02347317,0.040794216,0.035791767,0.028230587,0.045508897,0.03205038
ydgH,,C up,0.104743191,0.092879311,0.081993583,0.082074943,0.091303511,0.083160443,0.088709327,0.101100654
ydiI,,C up,0.01049419,0.016524201,0.017686133,0.011724992,0.020360881,0.011139103,0.011088666,0.01068346
yebF,,C up,0.01049419,0.010668029,0.011899096,0.012211503,0,0,0,0
yecC,Catabolic,C up,0.01564193,0.021336058,0.011736585,0.011724992,0.015110434,0.022278206,0.016055882,0.015632975
yedE,,C up,0,0,0,0.011238481,0,0,0,0
yedF,,C up,0.02118709,0.021336058,0.023798191,0,0.021001785,0,0.012242899,0.01068346
yfbU,,C up,0.052272241,0.042672115,0.04710885,0.041280727,0.020360881,0.049743134,0.033265998,0.05263287
yfgD,,C up,0,0.011712345,0.023798191,0.012211503,0.010500893,0.011904762,0.009934433,0.016417405
ygdH,,C up,0.01049419,0.019247426,0.011899096,0.017830744,0.009859988,0.011139103,0,0.00989903
ygfZ,,C up,0.073658041,0.057107685,0.07058202,0.06986344,0.06076219,0.07202134,0.050476113,0.059151244
yghU,,C up,0.01029548,0.010668029,0.011574074,0.011238481,0.009859988,0.010373444,0.009934433,0
ygiC,,C up,0.01049419,0.021336058,0.011736585,0.017344232,0.015110434,0.011139103,0.016055882,0.01068346
ygiM,,C up,0.01049419,0.009623713,0.011899096,0.011724992,0.01018044,0.011139103,0.011088666,0
yhbS,,C up,0.01049419,0.010668029,0.011736585,0.017344232,0.01018044,0.010373444,0.009934433,0.00989903
yhjE,,C up,0.01049419,0.010668029,0.011736585,0.011724992,0.015110434,0.011139103,0.011088666,0.01068346
yicC,,C up,0.025937411,0.020291742,0.034722222,0.033715442,0.030541321,0.031120332,0.009934433,0.02969709
yjcH,,C up,0,0,0,0,0,0,0,0
yjcZ,,C up,0.04732321,0.035771627,0.052733377,0.035174976,0.045972208,0.03936969,0.043200431,0.036999895
yjeI,,C up,0.02098838,0.02719223,0.02347317,0.011724992,0.035791767,0.022278206,0.022177332,0.026316435
yncE,,C up,0.115237381,0.116304001,0.111578812,0.145832632,0.152386153,0.132903576,0.119666859,0.127417089
yqeF,,C up,0,0,0,0,0,0,0,0
yqjD,,C up,0.01564193,0.015479885,0.02347317,0.022963472,0.015110434,0,0.016055882,0.00989903
ytfQ,Catabolic,C up,0.03148257,0.016524201,0.017686133,0.017830744,0.01018044,0.011139103,0.009934433,0
yuaX,,C up,0.078607071,0.053340144,0.052733377,0.046413456,0.040721761,0.022278206,0.039387447,0.03205038
yuaY,,C up,0.109692222,0.091200403,0.105466753,0.076455703,0.061082642,0.061647896,0.033265998,0.037784325
aas,,C flat,0,0,0,0,0,0,0,0.01146789
abgB,,C flat,0,0,0,0,0,0,0.012242899,0
accA,,C flat,0.141572211,0.106680288,0.170261736,0.140213391,0.153027058,0.14327702,0.171297205,0.188921623
ackA,,C flat,0.126128991,0.097056575,0.100167248,0.094772958,0.112625748,0.141918593,0.166329989,0.196467363
acpP,,C flat,0.073658041,0.116304001,0.088105642,0.105038416,0.081443523,0.116577751,0.071499212,0.085467679
acrE,,C flat,0,0,0.011899096,0,0,0,0,0
acuI,,C flat,0.01584064,0.010668029,0.011899096,0.024423006,0.031502678,0.023809524,0.011088666,0.00989903
add,,C flat,0,0,0,0.011238481,0,0,0,0
ade,,C flat,0,0,0,0,0,0,0,0
nudF,,C flat,0.01029548,0.009623713,0.011574074,0.011238481,0,0,0,0
ycjG,,C flat,0,0,0,0,0,0,0,0
flu,,C flat,0,0,0,0,0,0,0,0
ahpF,,C flat,0.094447711,0.097056575,0.099842227,0.088180695,0.096233505,0.095830863,0.088709327,0.106834599
metL,amino acid synthesis,C flat,0.01564193,0.010668029,0.02347317,0.011238481,0.029579965,0.016325825,0.016055882,0.015632975
alaC,amino acid synthesis,C flat,0.01049419,0.011712345,0.011736585,0.011724992,0.009859988,0.011904762,0.011088666,0.016417405
allR,,C flat,0.01049419,0.009623713,0.011899096,0,0.010500893,0.011904762,0,0.00989903
alr,,C flat,0.01029548,0.009623713,0,0,0,0,0,0.00989903
dadX,,C flat,0,0.011712345,0,0,0,0,0,0
amiA,,C flat,0,0,0.011574074,0,0,0,0,0
tynA,,C flat,0,0,0,0,0,0.010373444,0,0
pepA,,C flat,0.089299971,0.066731397,0.070419509,0.093313424,0.081443523,0.071255681,0.083742111,0.075568649
anmK,,C flat,0,0,0,0,0.010500893,0,0,0
araF,Catabolic,C flat,0,0.009623713,0,0,0,0,0,0
araH,Catabolic,C flat,0,0,0,0,0,0,0,0
arcA,,C flat,0.057519336,0.068820029,0.046946339,0.044333603,0.054936586,0.044173582,0.03078239,0.02518955
arcB,,C flat,0.01029548,0.021336058,0.011736585,0.030042247,0.015110434,0.016325825,0.011088666,0.01979806
arfB,affiliated translational apparatus,C flat,0,0,0,0,0,0,0,0
aroB,amino acid synthesis,C flat,0.04197676,0.032004086,0.035209755,0.041280727,0.040721761,0.038604031,0.034420231,0.026316435
aroL,amino acid synthesis,C flat,0,0,0,0.012211503,0,0.011904762,0.009934433,0
artI,,C flat,0.08969739,0.070908661,0.082481116,0.070836463,0.077474886,0.102548903,0.10742396,0.144618924
ascB,Catabolic,C flat,0,0,0,0,0.009859988,0,0,0
asmA,,C flat,0,0,0,0,0.010500893,0,0,0
aspA,amino acid synthesis,C flat,0.02633483,0.042672115,0.02347317,0.017344232,0.015430887,0.016325825,0.012242899,0.01068346
astA,Catabolic,C flat,0,0,0,0,0,0,0,0
astC,Catabolic,C flat,0,0,0,0,0,0,0,0
speG,,C flat,0,0,0,0.011238481,0,0,0.009934433,0
kdpA,,C flat,0,0,0,0,0,0,0,0
kdpC,,C flat,0.01584064,0.021336058,0.04710885,0.023449984,0.035791767,0.049743134,0.038233214,0.0534173
mgtA,,C flat,0,0.009623713,0.011574074,0.011238481,0.009859988,0.010373444,0,0
zntA,,C flat,0,0,0,0,0,0,0,0.01146789
avtA,amino acid synthesis,C flat,0.02078967,0.026147914,0.029422718,0.034688464,0.030220869,0.037838372,0.034420231,0.026316435
azoR,,C flat,0.0213858,0.011712345,0.011899096,0,0.021001785,0.011904762,0.011088666,0.01068346
baeR,,C flat,0,0.009623713,0,0.012211503,0.009859988,0.011139103,0.011088666,0
bamB,,C flat,0.057618691,0.047483972,0.040834281,0.046899968,0.055832196,0.03936969,0.032111765,0.03283481
bamE,,C flat,0.02118709,0.010668029,0.011736585,0.017830744,0.01018044,0.017091484,0.011088666,0.01068346
bglB,,C flat,0,0,0,0,0.009859988,0,0,0
bglG,,C flat,0,0,0,0,0.009859988,0,0,0
bioA,,C flat,0,0,0,0.011238481,0,0,0,0
bioC,,C flat,0,0,0,0.011238481,0,0,0,0
bioD1,,C flat,0,0,0,0,0.010500893,0,0,0.01146789
birA,,C flat,0,0,0,0,0,0.011904762,0,0
bisC,,C flat,0,0,0.011899096,0.011238481,0,0,0,0
blc,,C flat,0,0,0,0,0,0,0,0
bolA,,C flat,0,0,0,0,0,0,0,0
NA,,C flat,0,0,0,0,0,0,0,0
caiF,,C flat,0,0,0,0,0,0,0,0
cbl,,C flat,0,0,0,0,0,0,0.009934433,0.01146789
ccdA,,C flat,0.0106929,0,0,0,0,0,0,0
ccdB,,C flat,0.0106929,0.015479885,0.011736585,0.022476961,0.01018044,0.011139103,0.011088666,0.01068346
cdd,,C flat,0.0106929,0,0,0,0,0.010373444,0,0
yfaY,,C flat,0.01049419,0.010668029,0.011736585,0.017344232,0.01018044,0.011904762,0.011088666,0.01068346
citE,Catabolic,C flat,0,0,0,0,0,0,0,0
clcA,,C flat,0,0,0,0.012211503,0,0,0,0
clpX,,C flat,0.05326579,0.053340144,0.064794983,0.094772958,0.076833981,0.057226833,0.070344979,0.101885084
cmoB,,C flat,0,0,0,0,0,0,0,0
comR,,C flat,0,0,0.011574074,0,0,0,0,0
copA,,C flat,0.04197676,0.048528288,0.035209755,0.040794216,0.040721761,0.022278206,0.027144548,0.03126595
cpdB,,C flat,0.02653354,0.032004086,0.011736585,0.012211503,0.020360881,0.011139103,0.011088666,0
cpxA,,C flat,0,0,0,0,0.009859988,0,0,0
cra,,C flat,0.02078967,0.03095977,0.017523622,0.022476961,0.020040429,0.016325825,0.017210115,0.01068346
creA,,C flat,0,0,0,0,0,0,0,0
csdE,,C flat,0.01029548,0.009623713,0.011736585,0.011238481,0.01018044,0.022278206,0.009934433,0.02136692
csiD,,C flat,0,0,0,0,0,0,0,0
curA,,C flat,0,0,0,0.011238481,0,0,0,0
cusF,,C flat,0.0106929,0.015479885,0.011736585,0.023449984,0.010500893,0.016325825,0.011088666,0.02136692
cusR,,C flat,0.01029548,0,0,0,0.009859988,0,0,0
cusS,,C flat,0.0106929,0,0,0,0,0,0,0
cutC,,C flat,0.0106929,0,0,0,0,0,0,0
cyaA,,C flat,0,0,0,0,0,0,0.009934433,0
cydD,,C flat,0,0,0,0,0,0,0,0
cyoA,,C flat,0.02118709,0.022380374,0.023798191,0.024423006,0.04200357,0.023043865,0.032111765,0.04194941
cysK,amino acid synthesis,C flat,0.488079195,0.501397355,0.528796362,0.519086327,0.55992422,0.562141869,0.541036164,0.521136245
cysP,,C flat,0.173054782,0.192024519,0.199521943,0.24622483,0.234470581,0.262151749,0.241642184,0.232682828
cysQ,,C flat,0.01029548,0,0,0,0,0,0,0
NA,,C flat,0,0,0,0,0,0,0,0
dacC,,C flat,0.01029548,0,0,0,0.010500893,0,0.011088666,0.01146789
NA,,C flat,0,0,0.011574074,0,0.009859988,0,0,0
dadA,Catabolic,C flat,0,0.009623713,0,0,0,0,0,0
damX,,C flat,0,0,0.011899096,0,0.009859988,0,0.012242899,0.01068346
dauA,,C flat,0,0.009623713,0,0,0,0,0,0
dcd,,C flat,0.02098838,0.020291742,0.011736585,0.017344232,0.015110434,0.027464928,0.009934433,0.00989903
gadA,Catabolic,C flat,0,0,0,0,0,0,0,0
ldcC,,C flat,0,0,0,0,0,0,0,0
dcm,,C flat,0,0,0,0,0,0,0,0
speC,,C flat,0,0,0,0,0,0,0,0
dctA,,C flat,0.01564193,0.015479885,0.017523622,0.017344232,0.009859988,0.011139103,0,0
dcuB,Catabolic,C flat,0,0,0,0,0,0,0,0
dcyD,,C flat,0.05266966,0.059196317,0.064632472,0.053492231,0.051543106,0.067600277,0.072653445,0.059935674
ddpA,,C flat,0,0,0,0,0,0,0,0
degS,,C flat,0.0106929,0,0,0.011238481,0,0,0,0
der,,C flat,0.03663031,0.022380374,0.029422718,0.029555735,0.025611327,0.028230587,0.027144548,0.037784325
gcd,Catabolic,C flat,0,0,0,0,0,0,0,0
ndh,,C flat,0,0,0,0,0,0,0,0.01068346
sdhD,TCA,C flat,0,0,0,0,0,0,0,0
diaA,,C flat,0.0106929,0.011712345,0.011574074,0.012211503,0,0.010373444,0.012242899,0.01146789
dicA,,C flat,0.0106929,0,0,0,0,0,0,0
dkgA,,C flat,0,0,0,0,0,0,0,0
dksA,,C flat,0.089498681,0.085344231,0.082156094,0.076455703,0.06076219,0.100251926,0.060410546,0.05420173
polA,,C flat,0.01049419,0.021336058,0.02347317,0.034201953,0.025290875,0.021512547,0.016055882,0.01068346
dnaE,,C flat,0,0,0,0,0,0.010373444,0,0
dnaX,,C flat,0,0,0,0,0.009859988,0,0,0
dppA,Catabolic,C flat,0.689257195,0.736913436,0.717231764,0.65071269,0.640603628,0.644116775,0.680571889,0.660021224
dppB,Catabolic,C flat,0,0,0.011899096,0,0,0.011904762,0,0.01068346
dppD,Catabolic,C flat,0.0578174,0.038904575,0.046946339,0.04787299,0.056152648,0.04608773,0.056597563,0.058366814
dsbD,,C flat,0,0,0,0,0,0,0,0
dsbG,,C flat,0,0,0,0,0,0,0,0
dtd,,C flat,0,0,0,0,0,0,0.009934433,0
dtpB,Catabolic,C flat,0,0,0,0,0,0,0,0
dusA,,C flat,0,0,0,0,0.010500893,0.011904762,0,0
dusB,,C flat,0,0,0,0,0,0.010373444,0,0
dut,nucleotide synthesis,C flat,0.02078967,0.016524201,0.011899096,0.024423006,0.04200357,0.011904762,0.022177332,0.027100865
edd,,C flat,0,0,0,0.011238481,0.070622178,0.11734341,0.184694338,0.148784009
efeO,,C flat,0.01049419,0,0.023798191,0.011238481,0.030220869,0.011139103,0.022177332,0.02058249
elaD,,C flat,0,0.011712345,0,0,0,0,0,0
elbB,,C flat,0.02653354,0.028236546,0.047596383,0.029555735,0.025931779,0.035714286,0.027144548,0.03205038
elfD,,C flat,0,0,0,0,0,0.010373444,0,0
emtA,,C flat,0,0,0,0,0,0,0.012242899,0
entA,,C flat,0,0,0,0,0.009859988,0.010373444,0,0
entB,,C flat,0.01029548,0.010668029,0.017686133,0.011724992,0.01018044,0.017091484,0.016055882,0.027100865
entC,,C flat,0,0.009623713,0.011574074,0.011724992,0.019719976,0.010373444,0,0
envC,,C flat,0,0,0,0,0,0.011904762,0,0
envZ,,C flat,0,0,0,0,0,0,0,0
NA,,C flat,0.01049419,0.009623713,0,0.011238481,0.01018044,0.011139103,0.009934433,0.01146789
erpA,,C flat,0.01564193,0.015479885,0.02347317,0.011724992,0.020360881,0.011139103,0.028298781,0.016417405
eutD,,C flat,0,0,0.011574074,0,0,0,0,0
eutL,,C flat,0,0.009623713,0,0,0.010500893,0.010373444,0,0
recC,,C flat,0,0,0,0,0,0.010373444,0,0
xseB,,C flat,0.03168128,0.042672115,0.02347317,0.029555735,0.025611327,0.028230587,0.028298781,0.04273384
fabB,,C flat,0.084152231,0.093923627,0.088105642,0.0642442,0.081763975,0.093533887,0.059256313,0.094582279
fabF,,C flat,0.0320787,0.020291742,0.029260207,0.022963472,0.035150863,0.028230587,0.033265998,0.036999895
fabG,,C flat,0.10019158,0.111492145,0.111903833,0.100878709,0.071583535,0.096596522,0.129251008,0.117518059
fabH,,C flat,0.03682902,0.042672115,0.046946339,0.045440434,0.050902202,0.049743134,0.066531996,0.048467785
fabR,,C flat,0,0.009623713,0,0,0,0.010373444,0,0
fadH,,C flat,0.0106929,0.011712345,0,0.011238481,0,0,0,0
fadI,,C flat,0,0,0,0,0,0,0.009934433,0
fadJ,,C flat,0.0106929,0,0,0,0.021001785,0,0,0
fadR,,C flat,0.0106929,0.009623713,0.011574074,0.017830744,0.009859988,0.010373444,0.016055882,0.02136692
fdhE,,C flat,0,0.009623713,0.011899096,0,0.010500893,0,0.012242899,0
fpr,,C flat,0.01584064,0.016524201,0.017686133,0.011724992,0.015430887,0.011139103,0.011088666,0.02293578
feoA,,C flat,0,0,0,0,0.009859988,0,0,0
fepA,,C flat,0.01584064,0.015479885,0.023635681,0.029555735,0.041042214,0.028230587,0.032111765,0.036999895
fepB,,C flat,0,0,0.011899096,0,0,0,0.009934433,0.00989903
fhuB,,C flat,0,0.009623713,0,0,0,0,0,0
fhuE,,C flat,0,0,0,0,0.010500893,0,0,0
finO,,C flat,0.0106929,0.010668029,0.011899096,0,0.010500893,0,0,0.01146789
flgC,motility,C flat,0.0213858,0,0.023798191,0,0,0.011904762,0.009934433,0.00989903
flgF,motility,C flat,0,0,0,0.012211503,0,0,0,0
flhA,motility,C flat,0.01049419,0,0,0,0,0.011904762,0,0
fliE,motility,C flat,0,0,0,0,0,0,0,0.00989903
fliO,motility,C flat,0,0.009623713,0.011574074,0,0.009859988,0,0,0
fnr,,C flat,0.03148257,0.026147914,0.029422718,0.029555735,0.030541321,0.026699269,0.027144548,0.026316435
folC,,C flat,0,0.011712345,0,0,0,0,0,0
folD,amino acid synthesis,C flat,0.01564193,0.015479885,0.017523622,0.017344232,0.015110434,0.020746888,0.019868865,0.01979806
frdA,,C flat,0.02613612,0.029915454,0.035047244,0.034201953,0.020040429,0.010373444,0.009934433,0.01146789
frdB,,C flat,0.01029548,0.009623713,0,0,0,0,0,0
frlR,,C flat,0,0,0,0,0,0,0,0
frmA,,C flat,0.01029548,0.009623713,0.011736585,0.011724992,0.020681333,0.010373444,0.019868865,0.02969709
frmR,,C flat,0,0,0,0.011238481,0,0,0,0
ftsH,,C flat,0.162759301,0.190980203,0.211096017,0.174901856,0.208538802,0.233921162,0.213343403,0.232682828
ftsI,,C flat,0,0,0.011574074,0,0,0,0,0
ftsK,,C flat,0,0,0,0,0,0,0.009934433,0
ftsY,,C flat,0.05286837,0.075720518,0.07058202,0.046899968,0.056152648,0.066068959,0.068840462,0.069834704
fucO,,C flat,0,0,0,0,0,0,0,0
fur,,C flat,0.052073531,0.053340144,0.070256998,0.057651937,0.056152648,0.049743134,0.065377762,0.047683355
gabD,,C flat,0.0106929,0.019247426,0.011736585,0.011724992,0,0,0,0
galF,,C flat,0,0,0.011574074,0,0,0,0,0
garL,Catabolic,C flat,0,0,0,0,0,0,0,0
garR,,C flat,0,0.011712345,0,0,0,0,0,0
gatR,,C flat,0,0,0,0,0,0,0,0
gcvH,,C flat,0.01029548,0.019247426,0.011736585,0.012211503,0.01018044,0.020746888,0.039737731,0.01979806
ggt,,C flat,0,0,0,0,0,0,0,0
ghrA,,C flat,0.02633483,0.021336058,0.011736585,0.017830744,0.020040429,0.016325825,0.028298781,0.03205038
glcG,,C flat,0.01049419,0,0.011574074,0,0.010500893,0,0,0
gldA,,C flat,0,0,0,0.011238481,0,0,0,0
glgX,,C flat,0,0.009623713,0,0,0,0,0,0
glnD,,C flat,0,0,0,0.011238481,0,0,0.009934433,0
glnE,,C flat,0.01049419,0,0.011899096,0,0.01018044,0.010373444,0.009934433,0.00989903
glnH,Catabolic,C flat,0.273445072,0.268379629,0.252255319,0.200784396,0.178638385,0.16343114,0.14796564,0.159467469
glnP,Catabolic,C flat,0,0,0,0.011238481,0,0,0,0
glpR,,C flat,0,0,0,0,0,0,0,0.01146789
grxD,,C flat,0.05247095,0.059196317,0.076369057,0.06986344,0.071263083,0.089112824,0.109732426,0.090417194
glxK,Catabolic,C flat,0,0,0,0,0,0,0,0
glxR,,C flat,0,0,0,0,0,0,0,0
gmhA,,C flat,0.115237381,0.117348317,0.117853381,0.11773643,0.122485737,0.089878483,0.10476521,0.078949304
gmhB,,C flat,0.0213858,0,0,0,0.010500893,0,0.009934433,0.01068346
NA,,C flat,0,0,0.011899096,0.012211503,0.010500893,0.011139103,0.012242899,0.01068346
gntK,Catabolic,C flat,0,0,0.011899096,0.033715442,0.04629266,0.111391029,0.097489527,0.070619134
gntR,,C flat,0.0106929,0.011712345,0.023798191,0.012211503,0.010500893,0,0,0.01068346
gph,,C flat,0.01049419,0.010668029,0.011899096,0.011238481,0.01018044,0.011904762,0.016055882,0.02058249
gpmI,Glycolysis,C flat,0.01049419,0.009623713,0.011736585,0.024423006,0.015430887,0.022278206,0.032111765,0.026316435
gsiA,Catabolic,C flat,0,0,0,0,0.01018044,0.010373444,0.009934433,0
gss,,C flat,0,0,0,0,0.010500893,0,0,0
gstA,,C flat,0.02613612,0.010668029,0.029422718,0.029555735,0.015110434,0.016325825,0.024485798,0.015632975
gyrA,,C flat,0.110089641,0.094967943,0.105304242,0.093313424,0.111664392,0.114280775,0.10130251,0.101885084
hchA,,C flat,0,0.009623713,0.011736585,0,0.009859988,0.010373444,0,0
hdhA,,C flat,0.01049419,0.010668029,0,0,0.01018044,0.011904762,0.012242899,0.01146789
hemF,,C flat,0,0,0,0,0,0,0,0
hemH,,C flat,0,0,0,0,0,0,0,0
hemX,,C flat,0.02613612,0.026147914,0.017523622,0.017344232,0.030541321,0.021512547,0.032111765,0.01068346
hfq,,C flat,0.025937411,0.015479885,0.023148148,0.023449984,0.015110434,0.016325825,0.011088666,0.015632975
higA,,C flat,0,0,0,0,0.009859988,0,0,0
hinT,,C flat,0.04217547,0.042672115,0.041159302,0.035661487,0.030541321,0.033417309,0.060410546,0.03205038
hns,,C flat,0.597373996,0.548061879,0.598403318,0.541076777,0.517600198,0.495134361,0.427387373,0.485163715
mhpE,,C flat,0,0,0,0,0,0,0,0
hpf,,C flat,0.02078967,0.015479885,0.017523622,0.022963472,0.015110434,0.011139103,0.011088666,0.01068346
hpt,,C flat,0.01049419,0.010668029,0.023148148,0.011724992,0.015110434,0.010373444,0.021023099,0.02058249
hslV,,C flat,0.01049419,0.009623713,0,0.011238481,0.010500893,0,0.009934433,0
iaaA,,C flat,0,0,0,0,0,0.010373444,0,0
iadA,,C flat,0.01584064,0.009623713,0.011736585,0.011238481,0.01018044,0.017091484,0.017210115,0.01068346
idnO,,C flat,0,0,0,0,0,0.010373444,0,0
idnR,,C flat,0,0,0,0,0,0,0,0.01146789
idnT,Catabolic,C flat,0,0,0.011574074,0,0,0,0,0
infC,affiliated translational apparatus,C flat,0.094646421,0.075720518,0.076531568,0.082074943,0.091623963,0.095065205,0.109732426,0.090417194
yrfF,,C flat,0.0106929,0,0,0,0,0,0.009934433,0
ihfA,,C flat,0.047124501,0.066731397,0.081831073,0.053005719,0.055511744,0.054929856,0.04932188,0.048467785
ilvD,amino acid synthesis,C flat,0.241167662,0.221939973,0.246305772,0.251357559,0.280122336,0.273290852,0.30205273,0.304086392
gsk,,C flat,0.0106929,0,0.011899096,0.012211503,0.010500893,0.011139103,0.011088666,0.01068346
NA,,C flat,0,0,0,0,0,0,0.012242899,0
insJ,,C flat,0,0.009623713,0,0,0,0,0,0
NA,,C flat,0,0,0,0,0,0,0,0
intB,,C flat,0,0,0,0,0.009859988,0,0,0
rsfS,,C flat,0.020590961,0.009623713,0.011574074,0.011238481,0.009859988,0.010373444,0.009934433,0
iscR,,C flat,0.068311591,0.07258757,0.088268153,0.075969192,0.066012636,0.088347165,0.080279412,0.068265844
ispA,,C flat,0,0.009623713,0.011574074,0,0.009859988,0.011904762,0,0.00989903
ispD,,C flat,0,0,0.011574074,0,0,0,0,0
ispG,,C flat,0.020590961,0.009623713,0.011736585,0.017344232,0.020681333,0.017091484,0.009934433,0.00989903
fruK,Catabolic,C flat,0,0,0,0,0,0,0,0
pfkA,Glycolysis,C flat,0.02633483,0.010668029,0.02347317,0.053492231,0.045972208,0.016325825,0.022177332,0.04273384
kdgK,Catabolic,C flat,0.01049419,0,0,0,0.01018044,0,0.012242899,0
kdsC,,C flat,0.01029548,0.010668029,0.017686133,0.012211503,0.020681333,0.023809524,0.028298781,0.016417405
waaA,,C flat,0,0.009623713,0,0.011238481,0,0.010373444,0,0
prkB,,C flat,0,0,0,0,0,0,0,0
ldcA,,C flat,0.01029548,0,0,0,0.010500893,0,0.009934433,0.00989903
lepB,,C flat,0,0.019247426,0.023798191,0.011724992,0,0.011904762,0.012242899,0
leuB,amino acid synthesis,C flat,0.131078021,0.121115857,0.141001529,0.116763408,0.122485737,0.139621616,0.110886659,0.143834494
lexA,,C flat,0,0,0,0,0,0,0,0
aat,,C flat,0,0,0,0,0,0,0,0
gloA,,C flat,0.01049419,0.009623713,0,0.011238481,0.01018044,0.011904762,0.012242899,0.01146789
ligT,,C flat,0.01029548,0,0,0,0,0,0,0
NA,,C flat,0.01564193,0.015479885,0.023148148,0.017344232,0.009859988,0.020746888,0,0.00989903
lnt,,C flat,0,0,0,0,0.010500893,0,0.012242899,0
loiP,,C flat,0,0,0.011574074,0,0.009859988,0,0.009934433,0.00989903
lolB,,C flat,0.0106929,0,0.011574074,0,0.01018044,0.010373444,0.011088666,0.00989903
lon,,C flat,0.089498681,0.110447829,0.093892679,0.105038416,0.106413946,0.120233156,0.071499212,0.103696879
ycbZ,,C flat,0,0,0,0,0.009859988,0.010373444,0,0
lpoA,,C flat,0.03663031,0.026147914,0.029260207,0.029069224,0.035150863,0.022278206,0.032111765,0.027100865
rhoL,,C flat,0,0,0,0,0,0,0,0
lptE,,C flat,0,0,0,0,0.009859988,0,0.011088666,0.01068346
lpxB,,C flat,0,0.011712345,0,0.012211503,0.010500893,0.011904762,0,0
lrhA,,C flat,0,0,0.011899096,0,0,0,0,0
lsrB,,C flat,0,0,0,0,0,0,0,0
lsrF,,C flat,0,0,0,0,0,0,0,0
lsrG,,C flat,0,0,0,0,0,0,0,0
ltaE,,C flat,0.01584064,0.010668029,0.011736585,0.011238481,0.01018044,0.011139103,0.009934433,0.01146789
macA,,C flat,0,0.009623713,0,0,0,0.011904762,0,0
map,,C flat,0.01584064,0.025103598,0.023310659,0.022963472,0.035150863,0.026699269,0.016055882,0.015632975
matP,,C flat,0.01049419,0,0,0,0,0,0,0
mdaB,,C flat,0,0.009623713,0,0,0,0,0.009934433,0
mdlB,,C flat,0,0,0,0,0,0,0,0
mdtB,,C flat,0,0,0,0,0.009859988,0,0,0
menB,,C flat,0.0106929,0.010668029,0.011736585,0.024423006,0.021001785,0.011904762,0.009934433,0.01068346
menE,,C flat,0,0,0,0,0,0,0,0.01146789
menF,,C flat,0,0,0,0,0,0,0,0
metC,amino acid synthesis,C flat,0.03682902,0.03095977,0.029260207,0.029069224,0.030541321,0.03936969,0.038233214,0.02058249
metI,Catabolic,C flat,0.01584064,0.016524201,0.023798191,0.024423006,0.01018044,0.022278206,0.011088666,0.01068346
metN,Catabolic,C flat,0.03663031,0.041627799,0.041159302,0.035661487,0.061403094,0.033417309,0.039387447,0.058366814
metR,,C flat,0,0,0,0,0,0.010373444,0,0
mioC,,C flat,0.0106929,0.021336058,0.011574074,0.017830744,0.01018044,0.011139103,0.011088666,0.015632975
mipA,,C flat,0.073459331,0.049572604,0.064307451,0.053492231,0.081763975,0.066834618,0.073807678,0.074784219
mlaA,,C flat,0,0,0,0,0.010500893,0,0,0
mlaB,,C flat,0,0,0.011899096,0.012211503,0,0.011139103,0.011088666,0.01146789
mlaD,,C flat,0.02633483,0.016524201,0.011736585,0.022963472,0.025290875,0.027464928,0.019868865,0.015632975
mlaF,,C flat,0.020590961,0.009623713,0.011574074,0.011238481,0.009859988,0.010373444,0.009934433,0.01979806
mltA,,C flat,0,0,0.011574074,0.012211503,0.010500893,0.010373444,0,0.00989903
