gene,sector,Product,function,functional class,general class,location,envelope_function,COG_functionname,COG_function,COG-id,cAMP,manual1,manual2,COG_functionname_curated
guaA,u-sector,GMP synthetase,,,,CP,,Nucleotide transport and metabolism,F,COG0518,no,,,Nucleotide transport and metabolism
guaB,r-sector,inosine 5'-monophosphate dehydrogenase,,,,CP,,Nucleotide transport and metabolism,F,COG0516,yes,,,Nucleotide transport and metabolism
guaC,a-sector,GMP reductase,,,,CP,,Nucleotide transport and metabolism,F,COG0516,no,,,Nucleotide transport and metabolism
guaD,a-sector,G7502-MONOMER,,,,CP,,notdefined,FR,COG0402,no,,,notdefined
gudD,rca-sector,<i>D</i>-glucarate dehydratase,,,,CP,,notdefined,MR,COG4948,no,,,notdefined
gudP,rca-sector,galactarate/glucarate/glycerate transporter GudP,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG2271,no,,,Carbohydrate transport and metabolism
gudX,rca-sector,glucarate dehydratase-related protein,,,,CP,,notdefined,MR,COG4948,no,,,notdefined
gutM,a-sector,DNA-binding transcriptional activator GutM,,,,CP,,Transcription,K,COG4578,no,,,Transcription
gutQ,s-sector,D-arabinose 5-phosphate isomerase GutQ,,,,CP,,Signal transduction mechanisms,T,COG0517,no,,,Signal transduction mechanisms
gyrA,ra-sector,DNA gyrase subunit A,,,,CP,,"Replication, recombination and repair",L,COG0188,yes,,,"Replication, recombination and repair"
gyrB,ra-sector,DNA gyrase subunit B,,,,CP,,"Replication, recombination and repair",L,COG0187,no,,,"Replication, recombination and repair"
hcaB,rca-sector,"2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase",,,,CP,,notdefined,IQR,COG1028,no,,,notdefined
hcaC,rca-sector,putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin subunit,,,,CP,,notdefined,PQ,COG2146,no,,,notdefined
hcaD,rca-sector,putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin reductase subunit,,,,CP,,Lipid transport and metabolism,I,COG0446,no,,,Lipid transport and metabolism
hcaE,rca-sector,putative 3-phenylpropionate/cinnamate dioxygenase subunit &alpha;,,,,CP,,notdefined,PR,COG4638,no,,,notdefined
hcaF,rca-sector,putative 3-phenylpropionate/cinnamate dioxygenase subunit &beta;,,,,CP,,"Secondary metabolites biosynthesis, transport and catabolism",Q,COG5517,no,,,"Secondary metabolites biosynthesis, transport and catabolism"
hcaR,s-sector,DNA-binding transcriptional dual regulator HcaR,,,,CP,,Transcription,K,COG0583,no,,,Transcription
hcaT,rca-sector,putative 3-phenylpropionate transporter,,,,IM,transporter,notdefined,notdefined,,no,,,notdefined
hchA,rca-sector,protein/nucleic acid deglycase 1,,,,CP,,General function prediction only,R,COG0693,yes,,,General function prediction only
hcp,ra-sector,protein <i>S</i>-nitrosylase,,,,CP,,notdefined,PC,COG1151,no,,,notdefined
hcr,ra-sector,G6456-MONOMER,,,,CP,,Energy production and conversion,C,COG1018,no,,,Energy production and conversion
hda,u-sector,inibitor of reinitiation of DNA replication,,,,CP,,"Replication, recombination and repair",L,COG0593,no,,,"Replication, recombination and repair"
hdeA,s-sector,periplasmic acid stress chaperone HdeA,,,,PE,other,notdefined,notdefined,,no,,,notdefined
hdeB,s-sector,periplasmic acid stress chaperone HdeB,,,,PE,other,notdefined,notdefined,,no,,,notdefined
hdeD,a-sector,acid-resistance membrane protein,,,,IM,membrane protein,Function unknown,S,COG3247,no,,,Function unknown
hdfR,s-sector,DNA-binding transcriptional dual regulator HdfR,,,,CP,,Transcription,K,COG0583,no,,,Transcription
hdhA,rca-sector,7-&alpha;-hydroxysteroid dehydrogenase,,,,CP,,notdefined,IQR,COG1028,no,,,notdefined
helD,a-sector,DNA helicase IV,,,,CP,,"Replication, recombination and repair",L,COG0210,no,,,"Replication, recombination and repair"
hemA,ra-sector,glutamyl-tRNA reductase,,,,CP,,Coenzyme transport and metabolism,H,COG0373,no,,,Coenzyme transport and metabolism
hemB,a-sector,porphobilinogen synthase,,,,CP,,Coenzyme transport and metabolism,H,COG0113,yes,,,Coenzyme transport and metabolism
hemC,s-sector,OHMETHYLBILANESYN-MONOMER,,,,CP,,Coenzyme transport and metabolism,H,COG0181,no,,,Coenzyme transport and metabolism
hemD,s-sector,UROGENIIISYN-MONOMER,,,,CP,,Coenzyme transport and metabolism,H,COG1587,no,,,Coenzyme transport and metabolism
hemE,a-sector,uroporphyrinogen decarboxylase,,,,CP,,Coenzyme transport and metabolism,H,COG0407,no,,,Coenzyme transport and metabolism
hemF,r-sector,coproporphyrinogen III oxidase,,,,CP,,Coenzyme transport and metabolism,H,COG0408,no,,,Coenzyme transport and metabolism
hemG,a-sector,protoporphyrinogen oxidase,,,,CP,,Coenzyme transport and metabolism,H,COG4635,no,,,Coenzyme transport and metabolism
hemH,r-sector,PROTOHEME-FERROCHELAT-MONOMER,,,,CP,,Coenzyme transport and metabolism,H,COG0276,no,,,Coenzyme transport and metabolism
hemL,ra-sector,glutamate-1-semialdehyde aminotransferase,,,,CP,,Coenzyme transport and metabolism,H,COG0001,no,,,Coenzyme transport and metabolism
hemN,a-sector,coproporphyrinogen III dehydrogenase,,,,CP,,Coenzyme transport and metabolism,H,COG0635,no,,,Coenzyme transport and metabolism
hemX,s-sector,PF04375 family protein HemX,,,,IM,other,Function unknown,S,COG2959,no,,,Function unknown
hemY,s-sector,protein HemY,,,,IM,other,Function unknown,S,COG3071,no,,,Function unknown
hflC,a-sector,regulator of FtsH protease,,,,IM,other,"Posttranslational modification, protein turnover, chaperones",O,COG0330,no,,,"Posttranslational modification, protein turnover, chaperones"
hflD,r-sector,lysogenization regulator,,,,CP,,notdefined,XT,COG2915,no,,,notdefined
hflK,s-sector,regulator of FtsH protease,,,,IM,other,"Posttranslational modification, protein turnover, chaperones",O,COG0330,no,,,"Posttranslational modification, protein turnover, chaperones"
hflX,s-sector,ribosome rescue factor HflX,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG2262,no,,,"Translation, ribosomal structure and biogenesis"
hfq,a-sector,RNA-binding protein Hfq,,,,CP,,Signal transduction mechanisms,T,COG1923,no,,,Signal transduction mechanisms
hha,a-sector,haemolysin expression modulating protein,,,,CP,,notdefined,notdefined,,no,,,notdefined
hicA,s-sector,toxin of the HicA-HicB toxin-antitoxin system,,,,CP,,notdefined,notdefined,,no,,,notdefined
hicB,s-sector,antitoxin of the HicA-HicB toxin-antitoxin system,,,,CP,,Defense mechanisms,V,COG1598,no,,,Defense mechanisms
higA,s-sector,antitoxin/DNA-binding transcriptional repressor HigA,,,,CP,,Defense mechanisms,V,COG5499,no,,,Defense mechanisms
higB,rca-sector,ribosome-dependent mRNA interferase toxin HigB,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG4680,no,,,"Translation, ribosomal structure and biogenesis"
hinT,ra-sector,purine nucleoside phosphoramidase,,,,CP,,notdefined,FGR,COG0537,no,,,notdefined
hipA,r-sector,"phosphorylated serine/threonine kinase HipA // ""serine/threonine kinase HipA""",,,,CP,,Signal transduction mechanisms,T,COG3550,no,,,Signal transduction mechanisms
hipB,u-sector,antitoxin/DNA-binding transcriptional repressor HipB,,,,CP,,Transcription,K,COG1396,no,,,Transcription
hisA,a-sector,PRIBFAICARPISOM-MONOMER,,,,CP,,Amino acid transport and metabolism,E,COG0106,no,,,Amino acid transport and metabolism
hisB,a-sector,imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase,,,,CP,,Amino acid transport and metabolism,E,COG0131,no,,,Amino acid transport and metabolism
hisC,u-sector,histidinol-phosphate aminotransferase,,,,CP,,Amino acid transport and metabolism,E,COG0079,no,,,Amino acid transport and metabolism
hisD,u-sector,histidinal/histidinol dehydrogenase,,,,CP,,Amino acid transport and metabolism,E,COG0141,no,,,Amino acid transport and metabolism
hisF,a-sector,imidazole glycerol phosphate synthase subunit HisF,,,,CP,,Amino acid transport and metabolism,E,COG0107,no,,,Amino acid transport and metabolism
hisG,u-sector,ATP phosphoribosyltransferase,,,,CP,,Amino acid transport and metabolism,E,COG0040,no,,,Amino acid transport and metabolism
hisH,a-sector,imidazole glycerol phosphate synthase subunit HisH,,,,CP,,Amino acid transport and metabolism,E,COG0118,no,,,Amino acid transport and metabolism
hisI,a-sector,putative bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase,,,,CP,,Amino acid transport and metabolism,E,COG0139,no,,,Amino acid transport and metabolism
hisJ,u-sector,histidine ABC transporter periplasmic binding protein,,,,PE,transporter,notdefined,ET,COG0834,no,,,notdefined
hisL,s-sector,<i>his</i> operon leader peptide,,,,CP,,notdefined,notdefined,,no,,,notdefined
hisM,s-sector,"lysine/arginine/ornithine ABC transporter / histidine ABC transporter, membrane subunit HisM",,,,IM,transporter,Amino acid transport and metabolism,E,COG4160,no,,,Amino acid transport and metabolism
hisP,s-sector,"lysine/arginine/ornithine ABC transporter / histidine ABC transporter, ATP binding subunit",,,,CP,,Amino acid transport and metabolism,E,COG4598,no,,,Amino acid transport and metabolism
hisQ,s-sector,"lysine/arginine/ornithine ABC transporter / histidine ABC transporter, membrane subunit HisQ",,,,IM,transporter,Amino acid transport and metabolism,E,COG4215,no,,,Amino acid transport and metabolism
hisS,s-sector,histidine&mdash;tRNA ligase,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0124,no,,,"Translation, ribosomal structure and biogenesis"
hlyE,rca-sector,hemolysin E,,,,CP,,notdefined,notdefined,,yes,,,notdefined
hmp,c-sector,nitric oxide dioxygenase,,,,CP,,Energy production and conversion,C,COG1017,no,,,Energy production and conversion
hns,rca-sector,DNA-binding transcriptional dual regulator H-NS,,,,CP,,Transcription,K,COG2916,no,,,Transcription
hofB,rca-sector,T2SSE family protein,,,,CP,,notdefined,NUW,COG2804,no,,,notdefined
hofC,rca-sector,inner membrane protein HofC,,,,IM,membrane protein,notdefined,NUW,COG1459,no,,,notdefined
hofM,rca-sector,DNA utilization protein HofM,,,,CP,,notdefined,notdefined,,yes,,,notdefined
hofN,rca-sector,DNA utilization protein HofN,,,,CP,,notdefined,NW,COG3166,no,,,notdefined
hofO,rca-sector,DNA utilization protein HofO,,,,IM,membrane protein,notdefined,notdefined,,no,,,notdefined
hofP,rca-sector,DNA utilization protein HofP,,,,CP,,notdefined,notdefined,,no,,,notdefined
hofQ,rca-sector,DNA utilization protein HofQ,,,,OM,transporter,"Intracellular trafficking, secretion, and vesicular transport",U,COG4796,no,,,"Intracellular trafficking, secretion, and vesicular transport"
hokA,rca-sector,small toxic polypeptide,,,,MR,other,notdefined,notdefined,,no,,,notdefined
hokB,s-sector,toxin HokB,,,,CP,,notdefined,notdefined,,no,,,Defense mechanisms
hokC,rca-sector,protein HokC,,,,CP,,notdefined,notdefined,,no,,,notdefined
hokD,rca-sector,Qin prophage; toxic protein HokD,,,,CP,,notdefined,notdefined,,no,,,notdefined
hokE,s-sector,protein HokE,,,,MR,other,notdefined,notdefined,,no,,,notdefined
holA,rca-sector,DNA polymerase III subunit &delta;,,,,CP,,"Replication, recombination and repair",L,COG1466,no,,,"Replication, recombination and repair"
holB,ra-sector,DNA polymerase III subunit &delta;',,,,CP,,"Replication, recombination and repair",L,COG0470,no,,,"Replication, recombination and repair"
holC,ra-sector,DNA polymerase III subunit &chi;,,,,CP,,"Replication, recombination and repair",L,COG2927,no,,,"Replication, recombination and repair"
holD,ra-sector,DNA polymerase III subunit &psi;,,,,CP,,"Replication, recombination and repair",L,COG3050,no,,,"Replication, recombination and repair"
holE,ra-sector,DNA polymerase III subunit &theta;,,,,CP,,notdefined,notdefined,,no,,,notdefined
hpf,s-sector,ribosome hibernation-promoting factor,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG1544,no,,,"Translation, ribosomal structure and biogenesis"
hpt,a-sector,hypoxanthine phosphoribosyltransferase,,,,CP,,Nucleotide transport and metabolism,F,COG0634,yes,,,Nucleotide transport and metabolism
hrpA,ra-sector,ATP-dependent RNA helicase HrpA,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG1643,no,,,"Translation, ribosomal structure and biogenesis"
hrpB,ra-sector,putative ATP-dependent RNA helicase HrpB,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG1643,no,,,"Translation, ribosomal structure and biogenesis"
hscA,r-sector,iron-sulfur cluster biosynthesis chaperone HscA,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0443,no,,,"Posttranslational modification, protein turnover, chaperones"
hscB,rc-sector,co-chaperone for [Fe-S] cluster biosynthesis,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG1076,no,,,"Posttranslational modification, protein turnover, chaperones"
hscC,rca-sector,chaperone protein HscC,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0443,no,,,"Posttranslational modification, protein turnover, chaperones"
hsdM,r-sector,type I restriction enzyme EcoKI methyltransferase component,,,,CP,,Defense mechanisms,V,COG0286,no,,,Defense mechanisms
hsdR,c-sector,type I restriction enzyme EcoKI endonuclease component,,,,CP,,Function unknown,S,COG2268,no,,,Function unknown
hsdS,u-sector,type I restriction enzyme EcoKI specificity protein,,,,CP,,Defense mechanisms,V,COG0732,no,,,Defense mechanisms
hslJ,rca-sector,lipoprotein implicated in Novobiocin resistance,,,,OM,other,"Posttranslational modification, protein turnover, chaperones",O,COG3187,no,,,"Posttranslational modification, protein turnover, chaperones"
hslO,u-sector,molecular chaperone Hsp33,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG1281,no,,,"Posttranslational modification, protein turnover, chaperones"
hslR,ra-sector,heat shock protein Hsp15,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG1188,no,,,"Translation, ribosomal structure and biogenesis"
hslU,a-sector,ATPase component of the HslVU protease,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG1220,yes,,,"Posttranslational modification, protein turnover, chaperones"
hslV,a-sector,peptidase component of the HslVU protease,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG5405,no,,,"Posttranslational modification, protein turnover, chaperones"
hspQ,s-sector,"heat shock protein, hemimethylated DNA-binding protein",,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG3785,no,,,"Posttranslational modification, protein turnover, chaperones"
hsrA,u-sector,putative transporter HsrA,,,,IM,transporter,notdefined,GEPR,COG0477,no,,,notdefined
htgA,rca-sector,,,,,CP,,notdefined,notdefined,,no,,,notdefined
htpG,u-sector,chaperone protein HtpG,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0326,no,,,"Posttranslational modification, protein turnover, chaperones"
htpX,s-sector,zinc dependent endoprotease,,,,IM,other,"Posttranslational modification, protein turnover, chaperones",O,COG0501,no,,,"Posttranslational modification, protein turnover, chaperones"
htrE,rca-sector,putative fimbrial usher protein HtrE,,,,OM,other,notdefined,NW,COG3188,no,,,notdefined
htrL,s-sector,protein HtrL,,,,CP,,notdefined,notdefined,,no,,,notdefined
hupA,s-sector,DNA-binding protein HU-&alpha;,,,,CP,,"Replication, recombination and repair",L,COG0776,yes,,,"Replication, recombination and repair"
hupB,c-sector,DNA-binding protein HU-&beta;,,,,CP,,"Replication, recombination and repair",L,COG0776,yes,,,"Replication, recombination and repair"
hyaA,ra-sector,hydrogenase 1 small subunit,,,,IM,other,Energy production and conversion,C,COG1740,no,,,Energy production and conversion
hyaB,rca-sector,hydrogenase 1 large subunit,,,,CP,,Energy production and conversion,C,COG0374,no,,,Energy production and conversion
hyaC,rca-sector,hydrogenase 1 cytochrome <i>b</i> subunit,,,,IM,other,Energy production and conversion,C,COG1969,no,,,Energy production and conversion
hyaD,rca-sector,putative hydrogenase 1 maturation protease HyaD,,,,CP,,Energy production and conversion,C,COG0680,no,,,Energy production and conversion
hyaE,rca-sector,putative HyaA chaperone,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG1999,no,,,"Posttranslational modification, protein turnover, chaperones"
hyaF,rca-sector,protein HyaF,,,,CP,,notdefined,notdefined,,no,,,notdefined
hybA,a-sector,hydrogenase 2 iron-sulfur protein,,,,PE,other,Energy production and conversion,C,COG0437,no,,,Energy production and conversion
hybB,ra-sector,hydrogenase 2 membrane subunit,,,,IM,other,Energy production and conversion,C,COG5557,no,,,Energy production and conversion
hybC,ra-sector,hydrogenase 2 large subunit,,,,CP,,Energy production and conversion,C,COG0374,no,,,Energy production and conversion
hybD,ra-sector,putative hydrogenase 2 maturation protease,,,,CP,,Energy production and conversion,C,COG0680,no,,,Energy production and conversion
hybE,rca-sector,hydrogenase 2-specific chaperone,,,,CP,,notdefined,notdefined,,no,,,notdefined
hybF,ra-sector,hydrogenase maturation protein HybF,,,,CP,,General function prediction only,R,COG0375,no,,,General function prediction only
hybG,rca-sector,hydrogenase 2 accessory protein,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0298,no,,,"Posttranslational modification, protein turnover, chaperones"
hybO,a-sector,hydrogenase 2 small subunit,,,,PE,other,Energy production and conversion,C,COG1740,no,,,Energy production and conversion
hycA,a-sector,regulator of the transcriptional regulator FhlA,,,,CP,,notdefined,notdefined,,no,,,notdefined
hycB,s-sector,formate hydrogenlyase subunit HycB,,,,CP,,Energy production and conversion,C,COG1142,no,,,Energy production and conversion
hycC,ra-sector,formate hydrogenlyase subunit HycC,,,,IM,other,notdefined,CP,COG0651,no,,,notdefined
hycD,ra-sector,formate hydrogenlyase subunit HycD,,,,IM,other,Energy production and conversion,C,COG0650,no,,,Energy production and conversion
hycE,ra-sector,formate hydrogenlyase subunit HycE,,,,CP,,Energy production and conversion,C,COG3261,no,,,Energy production and conversion
hycF,ra-sector,formate hydrogenlyase subunit HycF,,,,CP,,Energy production and conversion,C,COG1143,no,,,Energy production and conversion
hycG,rca-sector,formate hydrogenlyase subunit HycG,,,,CP,,Energy production and conversion,C,COG3260,no,,,Energy production and conversion
hycH,rca-sector,formate hydrogenlyase assembly protein,,,,CP,,notdefined,notdefined,,no,,,notdefined
hycI,s-sector,hydrogenase 3 maturation protease,,,,CP,,Energy production and conversion,C,COG0680,no,,,Energy production and conversion
hydN,rca-sector,putative electron transport protein HydN,,,,CP,,Energy production and conversion,C,COG1142,no,,,Energy production and conversion
hyfA,rca-sector,hydrogenase 4 component A,,,,CP,,Energy production and conversion,C,COG1142,yes,,,Energy production and conversion
hyfB,rca-sector,hydrogenase 4 component B,,,,IM,other,notdefined,CP,COG0651,no,,,notdefined
hyfC,rca-sector,hydrogenase 4 component C,,,,IM,other,Energy production and conversion,C,COG0650,no,,,Energy production and conversion
hyfD,rca-sector,hydrogenase 4 component D,,,,IM,other,notdefined,CP,COG1009,no,,,notdefined
hyfE,rca-sector,hydrogenase 4 component E,,,,IM,other,Energy production and conversion,C,COG4237,no,,,Energy production and conversion
hyfF,rca-sector,hydrogenase 4 component F,,,,IM,other,notdefined,CP,COG0651,no,,,notdefined
hyfG,ra-sector,hydrogenase 4 catalytic subunit HyfG,,,,CP,,Energy production and conversion,C,COG3261,no,,,Energy production and conversion
hyfH,s-sector,hydrogenase 4 component H,,,,CP,,Energy production and conversion,C,COG1143,no,,,Energy production and conversion
hyfI,rca-sector,hydrogenase 4 catalytic subunit HyfI,,,,CP,,Energy production and conversion,C,COG3260,no,,,Energy production and conversion
hyfJ,s-sector,putative hydrogenase 4 assembly protein,,,,CP,,notdefined,notdefined,,no,,,notdefined
hyfR,rca-sector,DNA-binding transcriptional activator HyfR,,,,CP,,notdefined,KT,COG3604,no,,,notdefined
hyi,s-sector,hydroxypyruvate isomerase,,,,CP,,Carbohydrate transport and metabolism,G,COG3622,no,,,Carbohydrate transport and metabolism
hypA,s-sector,hydrogenase 3 nickel incorporation protein HypA,,,,CP,,General function prediction only,R,COG0375,no,,,General function prediction only
hypB,s-sector,hydrogenase isoenzymes nickel incorporation protein HypB,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0378,no,,,"Posttranslational modification, protein turnover, chaperones"
hypC,s-sector,hydrogenase 3 maturation protein HypC,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0298,no,,,"Posttranslational modification, protein turnover, chaperones"
hypD,c-sector,Fe-(CN)<sub>2</sub>CO cofactor assembly scaffold protein HypD,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0409,no,,,"Posttranslational modification, protein turnover, chaperones"
hypE,s-sector,"HypE-S-carboxamide // ""hydrogenase maturation protein, carbamoyl dehydratase""",,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0309,no,,,"Posttranslational modification, protein turnover, chaperones"
hypF,s-sector,carbamoyl--[HypE] ligase,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0068,no,,,"Posttranslational modification, protein turnover, chaperones"
hypT,ra-sector,DNA-binding transcriptional dual regulator HypT,,,,CP,,Transcription,K,COG0583,no,,,Transcription
hyuA,rca-sector,phenylhydantoinase,,,,CP,,Nucleotide transport and metabolism,F,COG0044,no,,,Nucleotide transport and metabolism
iaaA,s-sector,"&beta; cleavage product of IaaA // ""&alpha; cleavage product of IaaA"" // ""isoaspartyl dipeptidase proenzyme""",,,,CP,,Amino acid transport and metabolism,E,COG1446,no,,,Amino acid transport and metabolism
iadA,u-sector,isoaspartyl dipeptidase,,,,CP,,Carbohydrate transport and metabolism,G,COG1820,no,,,Carbohydrate transport and metabolism
iap,ra-sector,alkaline phosphatase isozyme conversion protein,,,,PE,other,"Posttranslational modification, protein turnover, chaperones",O,COG2234,no,,,"Posttranslational modification, protein turnover, chaperones"
ibaG,ra-sector,acid stress protein IbaG,,,,CP,,Signal transduction mechanisms,T,COG5007,no,,,Signal transduction mechanisms
ibpA,s-sector,small heat shock protein IbpA,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0071,no,,,"Posttranslational modification, protein turnover, chaperones"
ibpB,rca-sector,small heat shock protein IbpB,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0071,no,,,"Posttranslational modification, protein turnover, chaperones"
icd,s-sector,isocitrate dehydrogenase,,,,CP,,Energy production and conversion,C,COG0538,no,,,Energy production and conversion
icdC,rca-sector,protein IcdC,,,,CP,,notdefined,notdefined,,no,,,notdefined
iclR,c-sector,DNA-binding transcriptional repressor IclR,,,,CP,,Transcription,K,COG1414,no,,,Transcription
idi,s-sector,isopentenyl-diphosphate &Delta;-isomerase,,,,CP,,Lipid transport and metabolism,I,COG1443,no,,,Lipid transport and metabolism
idnD,rca-sector,IDONDEHYD-MONOMER,,,,CP,,notdefined,ER,COG1063,yes,,,notdefined
idnK,rca-sector,"D-gluconate kinase, thermosensitive",,,,CP,,Carbohydrate transport and metabolism,G,COG3265,yes,,,Carbohydrate transport and metabolism
idnO,s-sector,5-keto-D-gluconate 5-reductase,,,,CP,,notdefined,IQR,COG1028,no,,,notdefined
idnR,s-sector,DNA-binding transcriptional dual regulator IdnR,,,,CP,,Transcription,K,COG1609,no,,,Transcription
idnT,rca-sector,L-idonate/5-ketogluconate/gluconate transporter,,,,IM,transporter,notdefined,GR,COG2610,no,,,notdefined
ihfA,rca-sector,integration host factor subunit &alpha;,,,,CP,,"Replication, recombination and repair",L,COG0776,no,,,"Replication, recombination and repair"
ihfB,s-sector,integration host factor subunit &beta;,,,,CP,,"Replication, recombination and repair",L,COG0776,no,,,"Replication, recombination and repair"
ileS,ra-sector,isoleucine&mdash;tRNA ligase,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0060,no,,,"Translation, ribosomal structure and biogenesis"
ilvA,ra-sector,threonine deaminase,,,,CP,,Amino acid transport and metabolism,E,COG1171,no,,,Amino acid transport and metabolism
ilvB,c-sector,acetohydroxy acid synthase I subunit IlvB,,,,CP,,notdefined,EH,COG0028,no,,,notdefined
ilvC,u-sector,ketol-acid reductoisomerase (NADP<sup>+</sup>),,,,CP,,notdefined,EH,COG0059,no,,,notdefined
ilvD,ra-sector,dihydroxy-acid dehydratase,,,,CP,,notdefined,EG,COG0129,no,,,notdefined
ilvE,ra-sector,branched-chain-amino-acid aminotransferase,,,,CP,,notdefined,EH,COG0115,no,,,notdefined
ilvG_1,rca-sector,,,,,CP,,notdefined,notdefined,,no,,,notdefined
ilvG_2,ra-sector,,,,,CP,,notdefined,notdefined,,no,,,notdefined
ilvH,a-sector,"acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit",,,,CP,,Amino acid transport and metabolism,E,COG0440,no,,,Amino acid transport and metabolism
ilvI,a-sector,"acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit",,,,CP,,notdefined,EH,COG0028,no,,,notdefined
ilvL,s-sector,<i>ilvXGMEDA</i> operon leader peptide,,,,CP,,notdefined,notdefined,,no,,,notdefined
ilvM,ra-sector,acetolactate synthase II subunit IlvM,,,,CP,,Energy production and conversion,C,COG3978,no,,,Energy production and conversion
ilvN,c-sector,acetohydroxy acid synthase I subunit IlvN,,,,CP,,Amino acid transport and metabolism,E,COG0440,no,,,Amino acid transport and metabolism
ilvX,s-sector,uncharacterized protein IlvX,,,,CP,,notdefined,notdefined,,no,,,notdefined
ilvY,ra-sector,DNA-binding transcriptional dual regulator IlvY,,,,CP,,Transcription,K,COG0583,no,,,Transcription
inaA,a-sector,putative lipopolysaccharide kinase InaA,,,,CP,,notdefined,notdefined,,no,,,notdefined
infA,a-sector,translation initiation factor IF-1,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0361,no,,,"Translation, ribosomal structure and biogenesis"
infB,r-sector,translation initiation factor IF-2,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0532,no,,,"Translation, ribosomal structure and biogenesis"
infC,rca-sector,translation initiation factor IF-3,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0290,no,,,"Translation, ribosomal structure and biogenesis"
insA-1,rca-sector,IS1 protein InsA,,,,CP,,"Mobilome: prophages, transposons",X,COG3677,no,,,"Mobilome: prophages, transposons"
insA-2,rca-sector,IS1 protein InsA,,,,CP,,"Mobilome: prophages, transposons",X,COG3677,no,,,"Mobilome: prophages, transposons"
insA-3,rca-sector,IS1 protein InsA,,,,CP,,"Mobilome: prophages, transposons",X,COG3677,no,,,"Mobilome: prophages, transposons"
insA-4,rca-sector,IS1 protein InsA,,,,CP,,"Mobilome: prophages, transposons",X,COG3677,no,,,"Mobilome: prophages, transposons"
insA-5,rca-sector,IS1 protein InsA,,,,CP,,"Mobilome: prophages, transposons",X,COG3677,no,,,"Mobilome: prophages, transposons"
insA-6,rca-sector,IS1 protein InsA,,,,CP,,"Mobilome: prophages, transposons",X,COG3677,no,,,"Mobilome: prophages, transposons"
insA-7,s-sector,KpLE2 phage-like element; IS1 repressor protein InsA,,,,CP,,"Mobilome: prophages, transposons",X,COG3677,no,,,"Mobilome: prophages, transposons"
insAB-1,rca-sector,InsAB' transposase,,,,CP,,notdefined,notdefined,,no,,,notdefined
insAB-2,rca-sector,InsAB' transposase,,,,CP,,notdefined,notdefined,,no,,,notdefined
insAB-3,rca-sector,InsAB' transposase,,,,CP,,notdefined,notdefined,,no,,,notdefined
insAB-4,rca-sector,InsAB' transposase,,,,CP,,notdefined,notdefined,,no,,,notdefined
insAB-5,rca-sector,InsAB' transposase,,,,CP,,notdefined,notdefined,,no,,,notdefined
insAB-6,rca-sector,InsAB' transposase,,,,CP,,notdefined,notdefined,,no,,,notdefined
insB-1,rca-sector,IS1 protein InsB,,,,CP,,"Mobilome: prophages, transposons",X,COG1662,no,,,"Mobilome: prophages, transposons"
insB-2,rca-sector,IS1 protein InsB,,,,CP,,"Mobilome: prophages, transposons",X,COG1662,no,,,"Mobilome: prophages, transposons"
insB-4,rca-sector,IS1 protein InsB,,,,CP,,"Mobilome: prophages, transposons",X,COG1662,no,,,"Mobilome: prophages, transposons"
insC-1,rca-sector,IS2 element protein InsA,,,,CP,,"Mobilome: prophages, transposons",X,COG2963,no,,,"Mobilome: prophages, transposons"
